Title,link for more details
Appel à candidature pour un poste de chef de division et 3 postes de chef de service ou assimilés au Instance Nationale de la Probité de la Prévention et de la Lutte contre la Corruption,https://www.emploi-public.ma/fr/candidatureDetail.asp?id=20332&e=0
Appel à candidature pour le poste Directeur du pôle Finances et Affaires Générales au Instance Nationale de la Probité de la Prévention et de la Lutte contre la Corruption,https://www.emploi-public.ma/fr/emploiSuperieursDetail.asp?id=1871
Publication de la liste des convoqués pour l'entretien oral du concours de recrutement d'un  (par contrat) منسق(ة) مبيعات (1 poste)  à la Société Jardin Zoologique National,https://www.emploi-public.ma/fr/concoursDetail.asp?c=0&e=1&id=31280
Avis de concours de recrutement de Chef de pôle communication-Tanger (RH 693/24) (1 poste)  à l'Office de la Formation Professionnelle et de la Promotion du Travail,https://www.emploi-public.ma/fr/concoursDetail.asp?c=0&e=1&id=31768
Publication de la liste des convoqués pour le concours de recrutement d'un Un (01) Cadre Master ou Ingénieur d’Etat (Echelle 11 Statutaire) Poste Basé à Rabat (1 poste)  au Maghreb Arabe Presse,https://www.emploi-public.ma/fr/concoursDetail.asp?c=0&e=1&id=31450
Avis de concours de recrutement de Formateur en informatique bureautique (À l’Unité Mobile de Formation)(RH 692/24) (1 poste)  à l'Office de la Formation Professionnelle et de la Promotion du Travail,https://www.emploi-public.ma/fr/concoursDetail.asp?c=0&e=1&id=31767
Avis de concours de recrutement de Formateur en Maintenance des Véhicules Automobiles (À l’Unité Mobile de Formation)(691/24) (1 poste)  à l'Office de la Formation Professionnelle et de la Promotion du Travail,https://www.emploi-public.ma/fr/concoursDetail.asp?c=0&e=1&id=31766
Avis de concours de recrutement de Formateur en Électricité de Bâtiment  (À l’Unité Mobile de Formation) (RH 690/24) (2 postes)  à l'Office de la Formation Professionnelle et de la Promotion du Travail,https://www.emploi-public.ma/fr/concoursDetail.asp?c=0&e=1&id=31765
Avis de concours de recrutement de Business Developer - Agadir (RH 689/24) (1 poste)  à l'Office de la Formation Professionnelle et de la Promotion du Travail,https://www.emploi-public.ma/fr/concoursDetail.asp?c=0&e=1&id=31764
Publication de la liste des résultats pour l'appel à candidature pour un poste de chef de division ou assimilé au Ministère de la justice (pour tous les fonctionnaires),https://www.emploi-public.ma/fr/candidatureDetail.asp?id=19832&e=0
Publication de la liste des résultats pour le concours de recrutement d'un Cadre au Service Digitalisation (1 poste)  au Centre Régional d'Investissement de la région de l'Oriental,https://www.emploi-public.ma/fr/concoursDetail.asp?c=0&e=1&id=30916
Publication de la liste des résultats pour l'appel à candidature pour 2 postes de chef de service ou assimilés au Ministère de la justice,https://www.emploi-public.ma/fr/candidatureDetail.asp?id=19838&e=0
Avis de concours de recrutement de  (par contrat) Gestionnaire logistique (agent de maitrise) (1 poste)  au Atlas Multiservices,https://www.emploi-public.ma/fr/concoursDetail.asp?c=0&e=1&id=31763
Avis de concours de recrutement de  (par contrat) Gestionnaire marketing et communication (agent de maitrise) (3 postes)  au Atlas Multiservices,https://www.emploi-public.ma/fr/concoursDetail.asp?c=0&e=1&id=31762
Avis de concours de recrutement de  (par contrat) Infirmier (2 postes)  au Atlas Multiservices,https://www.emploi-public.ma/fr/concoursDetail.asp?c=0&e=1&id=31761
